Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X -116200  Y -20300
X -118400  Y 52500
X -112332  Y 80152
X -111400  Y 88000
X -126832  Y 92152
X -136332  Y 92652
X -126832  Y 97652
X -136332  Y 97652
X -101832  Y 102152
X -87051  Y 94115
X -98400  Y 88000
X -100400  Y 83652
X -86400  Y 74600
X -100400  Y 70152
X -102332  Y 68184
X -104332  Y 66215
X -90532  Y 60310
X -88426  Y 54467
X -93900  Y 48600
X -88900  Y 38600
X -93900  Y 38600
X -107900  Y 32000
X -110200  Y 22247
X -98600  Y 10200
X -98900  Y 1100
X -110200  Y -12300
X -73900  Y -8900
X -78900  Y -8900
X -63900  Y -8900
X -68900  Y -8900
X -78900  Y -1400
X -61926  Y 2400
X -78900  Y 3600
X -73100  Y 6200
X -63600  Y 20200
X -68600  Y 20200
X -63600  Y 25200
X -68600  Y 25200
X -82400  Y 26700
X -63600  Y 30200
X -68600  Y 30200
X -80500  Y 34058
X -74426  Y 42100
X -71700  Y 44700
X -78584  Y 54467
X -67367  Y 58310
X -64867  Y 60310
X -78900  Y 61100
X -71584  Y 61467
X -67084  Y 64467
X -78900  Y 66100
X -74647  Y 67467
X -68051  Y 73615
X -81400  Y 74600
X -74647  Y 76115
X -68900  Y 79100
X -73732  Y 79241
X -63551  Y 82115
X -81551  Y 94115
X -71600  Y 94200
X -61600  Y 94200
X -51600  Y 94300
X -51832  Y 82621
X -53584  Y 73667
X -54084  Y 60467
X -54084  Y 55467
X -60084  Y 52467
X -36800  Y 45800
X -58551  Y 45115
X -58600  Y 30200
X -58600  Y 25200
X -58600  Y 20200
X -43100  Y 11200
X -49600  Y 10700
X -41600  Y 9200
X -45600  Y 1200
X -41600  Y 1200
X -41600  Y -1800
X -45600  Y -1800
X -48100  Y -3300
X -22600  Y -9800
X -19600  Y 2200
X -19600  Y 8200
X -25600  Y 13200
X -23600  Y 16200
X -13600  Y 19200
X -16600  Y 19200
X -19600  Y 19200
X -22600  Y 19200
X -25600  Y 29200
X -22600  Y 29200
X -20600  Y 31200
X -25600  Y 32200
X -19600  Y 34200
X -25600  Y 35200
X -15100  Y 40200
X -27332  Y 56652
X -12332  Y 61341
X -12332  Y 69841
X -32551  Y 76304
X -35051  Y 79304
X -30051  Y 79304
X -3600  Y 90200
X -3600  Y 85200
X -3600  Y 80200
X -3600  Y 75200
X -3600  Y 70200
X -3600  Y 65200
X -3600  Y 60200
X -3600  Y 55200
X -3600  Y 50200
X -3600  Y 45200
X -3600  Y 40500
X -3600  Y 36200
X -10600  Y 34200
X -3600  Y 32200
X -9600  Y 31200
X -6600  Y 29200
X 11400  Y 19200
X 5400  Y 19200
X 8400  Y 19200
X -7600  Y 19200
X -10600  Y 19200
X -11000  Y -1000
X 11000  Y -1000
X 0  Y -12000
X 14400  Y 19200

Drill: .018  Tool: 2  Feed: 95  Speed: 300
X -116051  Y 9115
X -92900  Y 22247
X -95200  Y 53725
X -93051  Y 85115
X -99800  Y 91100
X -107800  Y 91100
X -56200  Y 85115
X -63100  Y 49200
X -41100  Y 40199
X -29643  Y -8800

Drill: .02756  Tool: 3  Feed: 197  Speed: 550
X -121266  Y -8347
X -121267  Y 10747
X -132782  Y -12855 X -131207  Y -12855
X -132782  Y 15288 X -131207  Y 15288

Drill: .035  Tool: 4  Feed: 197  Speed: 550
X -116551  Y -32065
X -106551  Y -32065
X -96551  Y -32065
X -86551  Y -32065
X -76551  Y 97615
X -66551  Y 97615
X -76551  Y -22065
X -66551  Y -22065
X -76551  Y -32065
X -66551  Y -32065
X -56551  Y -32065
X -46551  Y -32065
X -36551  Y -32065
X -46551  Y -22065
X -36551  Y -22065
X -56551  Y -22065
X -46551  Y 97615
X -56551  Y 97615
X -36315  Y 97615
X -26472  Y 97615
X -16630  Y 97615
X -20551  Y 80615
X -20551  Y 70615
X -32551  Y 60615
X -20551  Y 60615
X -20551  Y 50615
X -32551  Y 50615
X -26551  Y -22065
X -16551  Y -22065
X -16551  Y -32065
X -26551  Y -32065
X -6551  Y -32065
X -6551  Y -22065
X -6787  Y 97615

Drill: .037  Tool: 5  Feed: 197  Speed: 550
X -116551  Y 105615
X -106551  Y 105615
X -96551  Y 105615
X -86551  Y 105615
X -116551  Y 115615
X -96551  Y 115615
X -106551  Y 115615
X -86551  Y 115615
X -76551  Y 115615
X -66551  Y 115615
X -56551  Y 115615
X -46551  Y 115615
X -36551  Y 115615
X -66551  Y 105615
X -46551  Y 105615
X -76551  Y 105615
X -36551  Y 105615
X -56551  Y 105615
X -26551  Y 105615
X -16551  Y 105615
X -6551  Y 105615
X -16551  Y 115615
X -26551  Y 115615
X -6551  Y 115615

Drill: .05906  Tool: 6  Feed: 107  Speed: 550
X -10000  Y -10000
X 10000  Y -10000
X 0  Y 0
X 10000  Y 10000
X -10000  Y 10000

End of Listing
